name,lr,hidden_units,dropout,optimizer,extra_layer,batch,test_acc,test_loss,best_val_acc,best_train_acc,overfit_gap,epochs_trained,train_time_sec
extra_layer,0.001,128,0.2,adam,True,32,0.881600022315979,0.3444483280181885,0.8871666789054871,0.9030925631523132,0.015925884246826172,10,50.363802909851074
hidden_256,0.001,256,0.2,adam,False,32,0.8791999816894531,0.3519507944583893,0.8878333568572998,0.9003703594207764,0.012537002563476562,10,54.34893536567688
batch_128,0.001,128,0.2,adam,False,128,0.8787000179290771,0.345061331987381,0.8849999904632568,0.8924444317817688,0.007444441318511963,10,18.894715785980225
dropout_0p1,0.001,128,0.1,adam,False,32,0.8784999847412109,0.3531911373138428,0.8870000243186951,0.9028888940811157,0.015888869762420654,10,56.76253008842468
batch_16,0.001,128,0.2,adam,False,16,0.876800000667572,0.3640652298927307,0.8830000162124634,0.8910370469093323,0.008037030696868896,10,87.13609218597412
baseline,0.001,128,0.2,adam,False,32,0.8766000270843506,0.34561803936958313,0.8878333568572998,0.8928889036178589,0.005055546760559082,10,51.96803593635559
hidden_64,0.001,64,0.2,adam,False,32,0.8756999969482422,0.3582378029823303,0.8855000138282776,0.880814790725708,-0.00468522310256958,10,51.64824557304382
dropout_0p5,0.001,128,0.5,adam,False,32,0.8716999888420105,0.3676574230194092,0.878000020980835,0.8665370345115662,-0.011462986469268799,10,46.23640704154968
lr_small,0.0001,128,0.2,adam,False,32,0.8677999973297119,0.3750307559967041,0.8756666779518127,0.8765925765037537,0.000925898551940918,10,45.47968006134033
lr_large,0.01,128,0.2,adam,False,32,0.8439000248908997,0.4805794060230255,0.846833348274231,0.7965370416641235,-0.05029630661010742,7,36.865561962127686
